"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"21","002","002","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"21","002","002","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"21","002","002","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"21","002","002","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"21","002","002","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"21","002","002","James Clymer","CON","President - Vice Pres","","","Y","0",""
"21","002","002","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"21","002","002","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"21","002","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"21","002","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","1",""
"21","002","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","114",""
"21","002","002","Daniel John Bongino","REP","U.S. Senator           ","","","","169",""
"21","002","002","Dean Ahmad","LIB","U.S. Senator           ","","","","1",""
"21","002","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","71",""
"21","002","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"21","002","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"21","002","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"21","002","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"21","002","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"21","002","002","Wendy Rosen","DEM","U.S. Congress","01","","","51",""
"21","002","002","Andy Harris","REP","U.S. Congress","01","Y","","231",""
"21","002","002","Muir Wayne Boda","LIB","U.S. Congress","01","","","16",""
"21","002","002","John LaFerla","DEM","U.S. Congress","01","","Y","52",""
"21","002","002","Michael Calpino","UNF","U.S. Congress","01","","Y","0",""
"21","002","002","Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0",""
"21","002","002","Other Write-Ins","BOT","U.S. Congress","01","","Y","1",""
"21","002","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","246","36"
"21","002","003","Barack Obama","DEM","President - Vice Pres","","Y","","229",""
"21","002","003","Mitt Romney","REP","President - Vice Pres","","","","347",""
"21","002","003","Gary Johnson","LIB","President - Vice Pres","","","","7",""
"21","002","003","Jill Stein","GRN","President - Vice Pres","","","","2",""
"21","002","003","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"21","002","003","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"21","002","003","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"21","002","003","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"21","002","003","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"21","002","003","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"21","002","003","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"21","002","003","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"21","002","003","James Clymer","CON","President - Vice Pres","","","Y","0",""
"21","002","003","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"21","002","003","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"21","002","003","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
