"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"11","002","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"11","002","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"11","002","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"11","002","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"11","002","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"11","002","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"11","002","001","Virgil Goode","CON","President - Vice Pres","","","Y","2",""
"11","002","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"11","002","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"11","002","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","7",""
"11","002","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","902",""
"11","002","001","Daniel John Bongino","REP","U.S. Senator           ","","","","389",""
"11","002","001","Dean Ahmad","LIB","U.S. Senator           ","","","","31",""
"11","002","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","202",""
"11","002","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"11","002","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"11","002","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"11","002","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"11","002","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"11","002","001","John Delaney","DEM","U.S. Congress","06","Y","","1085",""
"11","002","001","Roscoe G. Bartlett","REP","U.S. Congress","06","","","406",""
"11","002","001","Nickolaus Mueller","LIB","U.S. Congress","06","","","55",""
"11","002","001","Other Write-Ins","BOT","U.S. Congress","06","","Y","4",""
"11","002","001","William Rogers Nicklas, Jr.","BOT","Judge Circuit Court","06","Y","","1181",""
"11","002","001","Other Write-Ins","BOT","Judge Circuit Court","06","","Y","12",""
"11","002","001","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","1117","144"
"11","002","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1076","169"
"11","002","001","Zakir Bengali","NON","Board of Education     ","","Y","","630",""
"11","002","001","Tony Chmelik","NON","Board of Education     ","","","","367",""
"11","002","001","Colleen Cusimano","NON","Board of Education     ","","","","517",""
"11","002","001","Kathryn B. Katie Groth","NON","Board of Education     ","","Y","","848",""
"11","002","001","Joy Schaefer","NON","Board of Education     ","","Y","","759",""
"11","002","001","Tom Shade","NON","Board of Education     ","","","","265",""
"11","002","001","Other Write-Ins","NON","Board of Education     ","","","Y","14",""
