"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 26,LEGS 47,LEGS 02A,LEGS 45,LEGS 37B,LEGS 08,LEGS 17,LEGS 34A,LEGS 28,LEGS 04B,LEGS 03B,LEGS 13,LEGS 12B,LEGS 29B,LEGS 07,LEGS 18,LEGS 21,LEGS 11,LEGS 34B,LEGS 04A,LEGS 38B,LEGS 19,LEGS 20,LEGS 23A,LEGS 22,LEGS 31,LEGS 44,LEGS 16,LEGS 02C,LEGS 39,LEGS 25,LEGS 32,LEGS 43,LEGS 10,LEGS 36,LEGS 09B,LEGS 03A,LEGS 09A,LEGS 29A,LEGS 42,LEGS 14,LEGS 46,LEGS 12A,LEGS 27B,LEGS 29C,LEGS 15,LEGS 01B,LEGS 35A,LEGS 24,LEGS 40,LEGS 41,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 35B,LEGS 06,LEGS 27A,LEGS 30,LEGS 33A,LEGS 33B,LEGS 05A,LEGS 23B,LEGS 38A,LEGS 02B,LEGS 05B
1,00,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Other Write-Ins",BOT,President - Vice Pres,,,Y,83,52,56,53,76,208,130,128,211,99,91,175,56,70,220,148,144,187,79,148,85,139,106,114,115,217,58,120,57,125,83,206,86,117,150,121,119,145,77,200,154,131,152,50,64,162,42,166,72,72,60,38,38,55,67,192,96,161,142,52,210,41,26,62,88
1,00,"Ben Cardin",DEM,U.S. Senator           ,,Y,,33321,19453,4755,23103,10172,19468,23950,14566,30781,4708,8790,26866,8984,6955,16605,27547,24358,31225,5283,10080,11329,23620,22654,20859,23375,15143,20726,31678,4734,21850,32573,20163,24278,30610,15563,5143,14992,15104,5611,20905,22909,19704,12330,6408,5640,26486,4145,9375,31278,24041,23831,6930,3266,3893,5135,14299,26320,19663,12916,6030,8575,13117,5181,4406,6415
1,00,"Daniel John Bongino",REP,U.S. Senator           ,,,,1617,1241,8528,1723,14123,12947,8353,7825,13182,9961,10486,12733,2979,6944,17750,6928,6195,10628,8025,18257,13491,9218,3050,5020,2705,17610,1175,9596,3940,8140,971,13344,1825,3536,20863,9661,11055,15168,6925,12714,12960,4779,9434,6326,6563,14449,7012,17731,607,1335,2559,2867,8822,6566,6779,8807,4561,17757,16351,7595,16517,1411,5487,7506,9745
1,00,"Dean Ahmad",LIB,U.S. Senator           ,,,,303,265,207,344,314,575,581,433,574,226,354,900,262,326,624,595,642,534,211,471,400,506,403,419,410,591,282,569,198,601,257,666,371,495,524,305,588,685,213,611,610,584,420,178,242,682,156,438,280,488,265,114,179,188,242,417,273,666,510,182,447,148,128,222,286
1,00,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,4745,2169,3501,4693,5871,12219,4939,7910,10845,4225,4042,8591,2315,2867,14076,4535,5157,9666,3317,6419,7633,4955,2597,4369,3328,11341,3585,5394,2546,4994,4078,9669,4615,5826,8689,4783,5035,7312,3736,9474,6124,6620,6735,3793,3025,6953,1804,11679,3348,4339,4167,2006,948,2294,5477,10110,6204,8468,7279,3698,8992,2113,2851,3072,5160
